                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1682,                 1.9195,                0.94644,                0.95416,                0.87462,                0.95893,                0.74366,                0.79037,                 1.2843,                0.94262,             0.00066228,             0.00066228,             0.00066228
                      2,                 1.1194,                 1.0431,                 0.9538,                0.91063,                0.95798,                 0.9823,                0.73112,                0.80433,                0.72227,                0.95462,              0.0013026,              0.0013026,              0.0013026
                      3,                 1.0879,                0.75728,                0.94341,                0.98656,                0.94958,                0.98374,                0.71126,                0.94028,                0.65278,                0.99344,              0.0019166,              0.0019166,              0.0019166
                      4,                 1.0568,                0.65473,                0.93703,                0.97167,                0.97479,                0.99021,                0.79018,                 0.7408,                0.56128,                0.90779,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.0383,                0.60719,                0.93135,                      1,                0.99001,                  0.995,                0.79176,                0.69215,                0.43538,                0.90572,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.0062,                 0.5712,                0.92417,                      1,                0.95785,                0.99296,                 0.7904,                0.70949,                0.45675,                0.90797,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.0153,                0.55947,                0.91992,                0.98271,                0.98319,                0.99459,                0.81054,                0.72353,                 0.4344,                0.91345,               0.001802,               0.001802,               0.001802
                      8,                0.96857,                 0.5379,                0.91325,                0.98074,                 0.9916,                0.99441,                0.78806,                0.71769,                0.43252,                0.90871,              0.0017624,              0.0017624,              0.0017624
                      9,                0.96543,                0.53613,                0.90945,                0.97171,                 0.9916,                0.99339,                0.83871,                0.64589,                0.40136,                 0.8908,              0.0017228,              0.0017228,              0.0017228
                     10,                0.95267,                0.52053,                 0.9068,                0.99856,                 0.9916,                  0.995,                0.84343,                0.64028,                0.38576,                0.87371,              0.0016832,              0.0016832,              0.0016832
                     11,                0.92937,                0.49803,                0.89671,                0.97514,                0.98902,                0.99433,                0.81767,                0.62303,                0.37556,                0.87618,              0.0016436,              0.0016436,              0.0016436
                     12,                0.95526,                 0.5049,                0.90983,                      1,                0.98987,                  0.995,                0.79548,                0.73244,                0.38636,                0.91266,               0.001604,               0.001604,               0.001604
                     13,                0.91676,                0.48125,                0.89698,                0.99804,                 0.9916,                  0.995,                0.84229,                0.61941,                0.34921,                0.88343,              0.0015644,              0.0015644,              0.0015644
                     14,                0.90839,                0.46246,                0.89118,                0.99877,                 0.9916,                  0.995,                0.83206,                0.62507,                0.34383,                0.87061,              0.0015248,              0.0015248,              0.0015248
                     15,                0.91424,                0.46899,                0.89956,                0.99988,                 0.9916,                  0.995,                0.87032,                0.58142,                0.33958,                0.87908,              0.0014852,              0.0014852,              0.0014852
                     16,                0.90519,                0.46487,                0.90393,                0.99863,                 0.9916,                  0.995,                0.86714,                0.56038,                0.33155,                0.85875,              0.0014456,              0.0014456,              0.0014456
                     17,                0.89212,                0.46369,                0.88706,                0.99899,                 0.9916,                  0.995,                0.82982,                0.59617,                0.34292,                0.87338,               0.001406,               0.001406,               0.001406
                     18,                0.89112,                0.45146,                0.89136,                0.99927,                 0.9916,                  0.995,                0.83424,                0.65143,                0.34323,                0.90165,              0.0013664,              0.0013664,              0.0013664
                     19,                0.88681,                0.44773,                0.89041,                      1,                0.99009,                  0.995,                0.87061,                0.57461,                0.34136,                0.86583,              0.0013268,              0.0013268,              0.0013268
                     20,                0.86999,                0.44233,                   0.89,                0.99891,                 0.9916,                  0.995,                 0.8873,                0.54847,                0.31174,                0.85779,              0.0012872,              0.0012872,              0.0012872
                     21,                0.87653,                0.44188,                0.88661,                0.98328,                0.98865,                0.99441,                0.87453,                0.57984,                0.31732,                0.86512,              0.0012476,              0.0012476,              0.0012476
                     22,                 0.8585,                0.43197,                0.88457,                0.99887,                 0.9916,                  0.995,                0.86738,                0.58021,                0.31099,                0.87201,               0.001208,               0.001208,               0.001208
                     23,                0.85398,                0.42503,                 0.8807,                0.99921,                 0.9916,                  0.995,                0.87632,                0.54268,                0.31047,                0.85925,              0.0011684,              0.0011684,              0.0011684
                     24,                 0.8732,                 0.4284,                0.88651,                0.99933,                 0.9916,                  0.995,                 0.8773,                0.57256,                0.31036,                0.85922,              0.0011288,              0.0011288,              0.0011288
                     25,                0.84438,                0.42575,                0.88206,                 0.9992,                 0.9916,                  0.995,                0.86408,                0.56778,                0.31537,                0.86591,              0.0010892,              0.0010892,              0.0010892
                     26,                0.85466,                 0.4169,                0.88673,                0.99936,                 0.9916,                  0.995,                0.87497,                0.58452,                0.30027,                0.86252,              0.0010496,              0.0010496,              0.0010496
                     27,                0.84206,                0.41296,                0.87724,                0.99933,                 0.9916,                  0.995,                0.87104,                0.56767,                0.30126,                0.86067,                0.00101,                0.00101,                0.00101
                     28,                0.82657,                0.40023,                0.87745,                0.99861,                 0.9916,                  0.995,                0.88987,                0.54297,                 0.2922,                0.85768,              0.0009704,              0.0009704,              0.0009704
                     29,                0.83147,                0.40206,                0.87516,                0.99812,                 0.9916,                  0.995,                 0.8732,                0.52979,                0.28912,                0.85455,              0.0009308,              0.0009308,              0.0009308
                     30,                0.82908,                0.40182,                0.87271,                0.99952,                 0.9916,                  0.995,                0.89367,                0.51013,                0.28383,                0.84903,              0.0008912,              0.0008912,              0.0008912
                     31,                0.81318,                 0.3944,                0.87712,                0.99944,                 0.9916,                  0.995,                0.87813,                0.51915,                0.27084,                  0.852,              0.0008516,              0.0008516,              0.0008516
                     32,                0.80863,                0.39278,                0.87437,                0.99945,                 0.9916,                  0.995,                0.89898,                0.50871,                0.27827,                0.85069,               0.000812,               0.000812,               0.000812
                     33,                0.81079,                0.39443,                0.87553,                0.99922,                 0.9916,                  0.995,                0.90117,                0.49494,                0.26553,                0.84628,              0.0007724,              0.0007724,              0.0007724
                     34,                0.81558,                0.38237,                0.86935,                 0.9993,                 0.9916,                  0.995,                 0.8939,                0.49228,                0.25454,                0.85429,              0.0007328,              0.0007328,              0.0007328
                     35,                0.80595,                0.38488,                0.87471,                0.99945,                 0.9916,                  0.995,                0.89264,                0.52576,                0.26187,                0.85141,              0.0006932,              0.0006932,              0.0006932
                     36,                0.80659,                0.37811,                0.87074,                0.99913,                 0.9916,                  0.995,                0.90077,                 0.5103,                0.25837,                0.85277,              0.0006536,              0.0006536,              0.0006536
                     37,                 0.7928,                0.37179,                0.86772,                      1,                0.99931,                  0.995,                0.89971,                0.50255,                0.26906,                0.84581,               0.000614,               0.000614,               0.000614
                     38,                0.79431,                0.37412,                 0.8636,                      1,                 0.9991,                  0.995,                0.89997,                0.49954,                0.26336,                0.85005,              0.0005744,              0.0005744,              0.0005744
                     39,                0.79301,                0.37413,                0.86689,                0.99939,                 0.9916,                  0.995,                0.89947,                0.49695,                0.25928,                0.84626,              0.0005348,              0.0005348,              0.0005348
                     40,                0.78197,                0.37039,                0.86564,                0.99932,                 0.9916,                  0.995,                0.89048,                0.53559,                0.25852,                0.85214,              0.0004952,              0.0004952,              0.0004952
                     41,                0.80945,                0.36392,                0.86974,                      1,                0.99931,                  0.995,                0.89784,                0.50177,                0.26195,                0.84728,              0.0004556,              0.0004556,              0.0004556
                     42,                0.79341,                0.35873,                0.86316,                0.99916,                 0.9916,                  0.995,                0.90375,                0.49687,                   0.26,                0.84538,               0.000416,               0.000416,               0.000416
                     43,                0.79817,                0.35093,                0.87017,                      1,                0.99937,                  0.995,                0.90072,                0.50022,                0.24525,                0.84895,              0.0003764,              0.0003764,              0.0003764
                     44,                0.78528,                0.34116,                 0.8641,                      1,                0.99931,                  0.995,                0.90752,                 0.4879,                0.24047,                0.84804,              0.0003368,              0.0003368,              0.0003368
                     45,                0.78072,                0.33886,                0.87136,                      1,                0.99934,                  0.995,                0.91323,                0.48458,                0.24204,                0.84531,              0.0002972,              0.0002972,              0.0002972
                     46,                0.76783,                 0.3388,                 0.8617,                0.99924,                 0.9916,                  0.995,                0.91016,                 0.4985,                 0.2425,                0.84697,              0.0002576,              0.0002576,              0.0002576
                     47,                0.76724,                 0.3336,                0.85852,                0.99936,                 0.9916,                  0.995,                0.90622,                0.50013,                0.24134,                0.84916,               0.000218,               0.000218,               0.000218
                     48,                0.76444,                0.32894,                0.86127,                0.99903,                 0.9916,                  0.995,                 0.9162,                0.46754,                0.23089,                0.84413,              0.0001784,              0.0001784,              0.0001784
                     49,                0.75344,                0.32279,                0.85802,                0.99913,                 0.9916,                  0.995,                 0.9127,                0.46763,                0.22282,                0.84286,              0.0001388,              0.0001388,              0.0001388
                     50,                0.74442,                0.31465,                0.85857,                      1,                0.99926,                  0.995,                 0.9233,                0.45598,                0.21882,                0.84267,               9.92e-05,               9.92e-05,               9.92e-05
